Verb-Subject,Selectional_Association
"('stretch', 'person')",-0.053293901149772095
"('march', 'person')",0.599751128459477
"('steal', 'person')",0.5779803079239291
"('enjoy', 'girl')",0.2865459305850343
"('argue', 'player')",0.7864499250912096
"('see', 'person')",0.8269539696480583
"('stand', 'father')",-0.0073346240605567286
"('perform', 'pianist')",0.07700542499500357
"('rise', 'moon')",0.3695702073169394
"('greet', 'athlete')",0.25397843822008
"('shoot', 'athlete')",0.056409040155269354
"('carry', 'person')",-0.06831348430520064
"('swim', 'fish')",0.06672976117596188
"('wade', 'species')",0.6375741302832665
"('stroll', 'woman')",0.059536348837968704
"('cross', 'woman')",-0.0053087850430982375
"('swim', 'child')",-0.0044508669432964335
"('sit', 'bird')",0.005089452614657465
"('play', 'footballer')",0.02783500776471394
"('tap', 'person')",1.0
"('run', 'puppy')",0.0011119158465609498
"('travel', 'boat')",0.03924110760395445
"('bounce', 'player')",1.0
"('chip', 'person')",0.21538106870256093
"('rest', 'animal')",0.11500304948489266
"('look', 'child')",0.08050746139577779
"('fly', 'girl')",0.01655427824797228
"('chip', 'player')",0.48067410646665243
"('swim', 'species')",0.40888146236928957
"('spin', 'player')",0.7183268635325109
"('cut', 'woman')",0.4909265771580793
"('hit', 'wave')",0.23928775098624563
"('kneel', 'player')",0.9487902202580332
"('run', 'shortstop')",0.010181604694344003
"('score', 'teammate')",0.0848714257472008
"('run', 'car')",-0.007032303920552828
"('arrive', 'dancer')",0.05647854111869
"('slide', 'person')",-0.00832442765324814
"('celebrate', 'athlete')",0.07601690535935952
"('compete', 'player')",0.24503427043989023
"('take', 'woman')",-0.10089324693386807
"('walk', 'species')",-0.006778066385206473
"('wade', 'man')",0.05842191645258884
"('go', 'train')",0.08765499448450201
"('send', 'person')",1.0
"('crawl', 'person')",0.12608986735587072
"('strike', 'person')",0.20521578509525223
"('return', 'person')",0.14660663287282075
"('vie', 'midfielder')",0.20435679943997392
"('paint', 'person')",0.3320073651643572
"('sit', 'kitten')",0.012189032054302908
"('miss', 'player')",1.0
"('catch', 'person')",-0.020077934445022077
"('arrive', 'screenwriter')",0.02649075358804635
"('sit', 'rabbit')",0.012897784469727537
"('walk', 'toddler')",0.019884542775619938
"('arrive', 'singer')",0.0363951980412677
"('cross', 'train')",0.17744962692983152
"('hug', 'player')",-0.04167361010996294
"('take', 'lady')",0.004014888263282142
"('reach', 'player')",0.31535004027838465
"('sail', 'ship')",0.05406121426459447
"('lay', 'animal')",0.04967823538199468
"('walk', 'girlfriend')",0.012920807416615788
"('play', 'athlete')",0.0021257238706301074
"('lose', 'player')",1.0
"('line', 'car')",0.3442099578030631
"('steal', 'player')",0.42201969207607093
"('break', 'sun')",0.3753172531468704
"('arrive', 'film')",0.04753673765402339
"('sign', 'person')",0.14430468417959827
"('rush', 'wave')",0.6864312499284096
"('look', 'person')",0.6744360880907628
"('sing', 'girl')",-0.024571858561854322
"('hit', 'cricketer')",0.12466203397818951
"('float', 'man')",-0.05082439243171359
"('go', 'girl')",0.21101033627319662
"('charge', 'person')",0.011522839618371595
"('fill', 'person')",1.026267194490586
"('carry', 'player')",-0.03416867627692982
"('compete', 'athlete')",0.25856678092276175
"('lean', 'girl')",0.10468529598412195
"('perform', 'politician')",0.023913681888803193
"('pour', 'girl')",0.09881481405044999
"('run', 'foal')",0.04072641877737601
"('jump', 'player')",-0.07890779251596167
"('break', 'wave')",0.5813286359673931
"('walk', 'worker')",0.009087858431539834
"('climb', 'person')",-0.07824145652018717
"('roll', 'person')",0.07589485838183704
"('punt', 'person')",0.14085416440926485
"('edge', 'player')",1.0140450600754811
"('run', 'toddler')",0.0577617781051112
"('feed', 'father')",0.5989577731460488
"('vie', 'person')",-0.005374361695171662
"('win', 'athlete')",0.15662592749372287
"('pass', 'vehicle')",0.01749853311646087
"('navigate', 'boat')",0.7867098294617926
"('pass', 'team')",0.02291161317993917
"('pose', 'athlete')",0.05689176084037931
"('take', 'golfer')",0.030171027229383456
"('hit', 'club')",0.062331016989094754
"('cruise', 'boat')",1.0
"('break', 'person')",-0.01582056208773682
"('run', 'athlete')",0.012016863734160476
"('pass', 'truck')",0.06124486590761306
"('lie', 'pug')",0.022094748812148027
"('perform', 'singer')",0.082198554107526
"('jump', 'couple')",0.09779790722115086
"('pull', 'player')",-0.0229113627958161
"('smash', 'player')",1.0
"('leave', 'car')",0.0574632092397834
"('fly', 'person')",0.022861333653264527
"('score', 'striker')",0.0424357128736004
"('lay', 'girl')",-0.050324689129079954
"('push', 'player')",0.20472479121506035
"('tie', 'boat')",0.5038445408667668
"('cheer', 'person')",0.5803529894583062
"('stand', 'mother')",-0.023262465177246956
"('perform', 'musician')",0.015850302837818617
"('speed', 'man')",0.31544562360895373
"('run', 'footballer')",-0.0032230870156304352
"('arrive', 'character')",0.0529815071760927
"('arrive', 'star')",0.0088871556898065
"('walk', 'sister')",0.01076733951384649
"('perform', 'composer')",0.014414050990681217
"('perform', 'dramatist')",0.004331246104318351
"('flop', 'person')",1.0
"('hit', 'athlete')",0.05063318105517278
"('roll', 'wave')",0.6380164968135504
"('greet', 'player')",0.10754660467948683
"('hit', 'golfer')",0.07848435688687709
"('play', 'team')",0.03321025515388504
"('take', 'child')",-0.017336612172821574
"('throw', 'athlete')",0.15417203937619084
"('support', 'person')",0.08617753019503825
"('lie', 'retriever')",0.055236872030370046
"('bowl', 'person')",0.6224218169963097
"('carry', 'girl')",0.017752665351188274
"('look', 'girl')",-0.03156854052159793
"('bump', 'person')",1.0
"('walk', 'teenager')",0.003359226714146026
"('arrive', 'journalist')",0.03973613038206952
"('jog', 'player')",-0.039205337804107204
"('pass', 'ferry')",0.05776960531801203
"('take', 'team')",0.06056561394406981
"('battle', 'player')",0.22584557255497553
"('celebrate', 'team')",0.039411890467301286
"('ready', 'player')",1.0
"('pitch', 'politician')",0.21501024491422446
"('deliver', 'player')",1.0
"('go', 'actor')",0.004309189068936327
"('go', 'athlete')",0.036674099306362305
"('travel', 'person')",0.14988629851928845
"('perform', 'novelist')",0.010267389999333808
"('boot', 'person')",1.0
"('run', 'midfielder')",0.009803637551746718
"('perform', 'songwriter')",0.044112426610524225
"('wade', 'person')",0.023001752549815242
"('stand', 'politician')",-0.0014168463019217396
"('stand', 'soldier')",0.014965255002676805
"('advance', 'person')",0.32443676694102036
"('wander', 'girl')",0.04608808690959161
"('push', 'person')",-0.04164501927607009
"('win', 'team')",0.16082282573042303
"('picture', 'player')",0.44757528299082266
"('look', 'man')",-0.11328626712038409
"('meet', 'person')",0.03426767876443414
"('go', 'truck')",0.12285092856460775
"('advance', 'player')",0.6755632330589797
"('head', 'person')",0.24237341982008745
"('hold', 'player')",-0.05295251970206359
"('visit', 'person')",0.6451247575048431
"('arrive', 'songwriter')",0.01819759902063385
"('enjoy', 'woman')",-0.06185048430121317
"('arrive', 'actress')",0.10367107943332038
"('reach', 'wave')",0.4264310169476979
"('score', 'footballer')",0.028554130105861046
"('thank', 'person')",0.06133547792739293
"('stand', 'animal')",0.01153031119769541
"('bowl', 'player')",0.37757818300369034
"('spin', 'person')",-0.0011990785240994582
"('compete', 'footballer')",0.05824289688894305
"('use', 'player')",-0.0391539670405019
"('open', 'person')",-0.12922502554733709
"('hike', 'person')",-0.07402085650392663
"('vie', 'defender')",0.14932500518327863
"('dive', 'player')",0.5358235034164799
"('depart', 'actor')",0.24952072573055137
"('leave', 'player')",0.1576154806397447
"('fumble', 'player')",0.8792863402925418
"('gallop', 'horse')",0.6156792202990584
"('rise', 'galaxy')",0.06800701358203314
"('crush', 'wave')",1.0
"('sit', 'goat')",0.00362322855296232
"('wind', 'player')",1.0
"('arrive', 'composer')",0.006658398050271008
"('arrive', 'boxer')",0.03171943727556463
"('beach', 'boat')",1.0
"('score', 'athlete')",0.05018049173056237
"('stand', 'worker')",0.025049493181819732
"('lay', 'player')",-0.04292380938248453
"('line', 'player')",0.08299584020336934
"('haul', 'person')",0.008308587893334503
"('sit', 'soldier')",-0.002014540813321914
"('move', 'moon')",0.06875087723944992
"('congratulate', 'player')",0.6037718859512899
"('arrive', 'musician')",0.007412809441601881
"('toss', 'person')",-0.013836801488944634
"('bring', 'player')",0.5259103141045682
"('come', 'person')",0.20568615507828134
"('draw', 'person')",0.056002004666270935
"('arrive', 'dramatist')",0.011559386725308131
"('cook', 'woman')",0.19367137969216444
"('take', 'someone')",0.04171732492786786
"('kneel', 'woman')",0.0582891431610682
"('arrive', 'politician')",0.01906186511229997
"('view', 'person')",1.0
"('fight', 'player')",0.0030993839177274173
"('head', 'player')",0.0659992315021962
"('trot', 'horse')",0.9656971425990387
"('cross', 'player')",-0.0311677745289213
"('arrive', 'writer')",0.013245376794023175
"('enjoy', 'player')",-0.041995753172035376
"('perform', 'entertainer')",0.0032704663648457704
"('drift', 'cloud')",0.8308348096916071
"('go', 'car')",0.06745654788484683
"('arrive', 'comedian')",0.007201165621091454
"('raise', 'player')",0.14223903331218338
"('lie', 'cheetah')",0.022094748812148027
"('arrive', 'artist')",0.07411869264160469
"('drive', 'vehicle')",0.07589626429954077
"('crawl', 'girl')",0.07238581925909901
"('turn', 'person')",0.30154166403076854
"('lead', 'woman')",-0.0688075647615018
"('sleep', 'woman')",0.02281117595390361
"('hold', 'doctor')",0.01578711294693874
"('collect', 'person')",0.198292284096497
"('move', 'boat')",0.3086078770452729
"('prepare', 'man')",-0.03672342563572892
"('skate', 'person')",0.024332317493164703
"('fly', 'flag')",0.15522231388538463
"('turn', 'man')",0.1756367312206627
"('reach', 'woman')",-0.05351518314671926
"('kiss', 'man')",0.0044322781359201185
"('choose', 'woman')",0.8272239827537129
"('close', 'man')",0.7990955380104899
"('kneel', 'man')",-0.007079363419101398
"('pose', 'player')",0.043341503991711466
"('prepare', 'girl')",-0.01337001619328031
"('drive', 'child')",0.03292923110204316
"('pick', 'man')",0.011864513718406034
"('sunbathe', 'man')",0.22946875823456672
"('lift', 'team')",0.4129777904506548
"('crowd', 'person')",1.0
"('attend', 'team')",0.0023859922256743217
"('stare', 'person')",0.13607042823665616
"('sway', 'grass')",0.18124279975862564
"('pull', 'man')",0.18786963194733255
"('flow', 'water')",0.9178843688190271
"('put', 'person')",0.17284056459511252
"('talk', 'businessman')",0.20793039282607423
"('hug', 'bride')",0.2324832582479269
"('pose', 'actor')",0.2581084571171913
"('wear', 'man')",0.07726928954793134
"('head', 'athlete')",0.3262820179999463
"('wash', 'woman')",0.12162254785493676
"('hold', 'coach')",0.0037737321363710335
"('exercise', 'player')",0.16235158469037783
"('rest', 'cat')",0.10546865086840661
"('welcome', 'person')",1.0
"('get', 'bride')",0.1387598425977472
"('line', 'crowd')",0.04773617940700926
"('kiss', 'person')",-0.04797218626160143
"('carry', 'man')",0.088869869248275
"('walk', 'puppy')",-0.012658358584265016
"('wear', 'woman')",0.033449815239513965
"('climb', 'woman')",0.03896712170414275
"('get', 'man')",-0.0388531788309582
"('jump', 'boy')",0.13090883529603642
"('spray', 'elephant')",0.43225474341060316
"('write', 'student')",0.1230507923108757
"('rest', 'lion')",0.06543905278231343
"('canoe', 'person')",1.0
"('join', 'player')",1.0
"('kiss', 'girl')",-0.015497497172921275
"('approach', 'train')",0.733637168804398
"('embrace', 'couple')",0.7339541221953686
"('stand', 'family')",0.006668515261875884
"('nibble', 'cow')",1.0
"('put', 'groom')",0.3185182323941376
"('embrace', 'man')",0.10736909509817531
"('pour', 'man')",0.015503943955849944
"('lie', 'family')",0.040774464156805475
"('hand', 'person')",1.0
"('study', 'student')",0.7774683091178938
"('eat', 'girl')",1.0
"('stand', 'couple')",-0.023408297410455116
"('make', 'player')",0.04187120363747397
"('admire', 'man')",0.6200132644738588
"('kayak', 'man')",0.03404493055624162
"('kiss', 'couple')",0.7402260105192469
"('ride', 'person')",0.2627602826321869
"('run', 'fox')",0.005267943490662239
"('speak', 'girl')",0.027738377042804525
"('blow', 'boy')",0.2048269393396152
"('move', 'couple')",0.08012891830057876
"('speak', 'coach')",0.25847762399586577
"('move', 'player')",0.0031105484439401376
"('stop', 'car')",0.7260395333793945
"('open', 'man')",0.4456801393386595
"('leave', 'boat')",0.21165300251923225
"('jump', 'silhouette')",0.12777381843804264
